Cycle,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
26,0.053479698,0.028113629,0.013957611,0.032731205,0.007995771,0.008633396,0.393434832,0.392135217,0.352402222,0.362004887,0.283433773,0.351947343,0.169456113,0.298480815,-0.005810792,0.012911666,0.291905323,0.015672651,-0.003023902,0.018869487,0.004537173,-0.005763164,-0.011553606,0.010568479,0.015601265,0.012429812,-0.011666729,0.013594863,-0.002125593,-0.014119345,0.002192463,0.004344351,0.002311069,-0.000717979,-0.003059323,0.00640653,0.091431456
27,0.059702983,0.04650076,0.020949266,0.039098271,0.013591574,0.017543929,0.410416832,0.404622217,0.360393888,0.371494887,0.29442244,0.365932677,0.183974508,0.311467482,0.002136567,0.015785471,0.29989699,0.023118355,0.004234852,0.030695161,0.021805721,-0.001087962,-0.010863171,0.023697314,0.030476407,0.020598034,-0.011082675,0.018915618,0.01453588,-0.015111703,0.011686624,0.005871262,0.0066468,0.004394907,0.004686299,0.015512546,0.179332758
28,0.052939602,0.049404226,0.022446588,0.039971003,0.021185378,0.021459795,0.416410498,0.40612055,0.357896555,0.372493887,0.29841844,0.370927343,0.188503236,0.312965815,0.003091258,0.014663943,0.301395657,0.020075059,0.008496941,0.037526167,0.035577935,0.000590239,-0.008674403,0.033329481,0.035861215,0.032262255,-0.008500954,0.022238374,0.040188019,-0.017602395,0.017184785,0.00290284,0.005987865,0.003014793,0.004939587,0.020622896,0.339658393
29,0.042679887,0.060299024,0.035431909,0.059823736,0.047758848,0.034865661,0.418408498,0.40811855,0.355898555,0.372493887,0.29841844,0.372925343,0.193031965,0.312965815,0.005544283,0.010545082,0.30389299,0.01053843,0.027743362,0.056843841,0.059339816,0.00976044,0.001006699,0.045459316,0.052734023,0.064405144,0.0100641,0.032054463,0.091812824,-0.010103421,0.031673612,0.007426418,0.010323597,0.004132012,0.015681543,0.031726912,0.653823362
30,0.033419172,0.093171156,0.065899231,0.107647468,0.109795652,0.077241194,0.416910165,0.407619217,0.356897555,0.375490887,0.300915773,0.374423677,0.193564693,0.314963482,0.001004641,0.008923888,0.30389299,0.002999801,0.073961784,0.093643181,0.113070364,0.037910975,0.026171467,0.078067817,0.083592165,0.132011032,0.060595822,0.066344885,0.205372963,0.009882554,0.060148106,0.021439997,0.029643662,0.008246232,0.043405831,0.058314595,1.244199997
31,0.039143124,0.179487288,0.149311219,0.229393867,0.252248456,0.184049393,0.430895832,0.42160455,0.372381222,0.39147422,0.316899107,0.387410343,0.205585421,0.330946815,0.010949666,0.013795693,0.31338299,0.008947171,0.185611538,0.180889854,0.234729912,0.118007176,0.088796903,0.153131985,0.16589664,0.284528587,0.179056876,0.154578974,0.443802769,0.069826862,0.1220876,0.074912575,0.082428726,0.038333118,0.115084453,0.121364278,2.291100299
32,0.051859743,0.339227086,0.299153874,0.453533599,0.519071592,0.391252926,0.448377498,0.43509055,0.387365555,0.40845622,0.337377773,0.402894343,0.220103483,0.348428482,0.036378691,0.026159832,0.32387199,0.018390876,0.403650293,0.342059527,0.456784793,0.278020044,0.211360004,0.302618486,0.325121115,0.575901142,0.416893264,0.335216397,0.901004574,0.18621217,0.235973095,0.177833819,0.190655791,0.105381337,0.260186742,0.237857961,3.950361601
33,0.059581362,0.604356885,0.555884862,0.846497332,0.981190729,0.745302792,0.462862498,0.449075883,0.401850555,0.425937887,0.357357107,0.41488201,0.233123211,0.363412815,0.075793049,0.030532304,0.334860657,0.023838913,0.800502381,0.632594201,0.859651007,0.578386246,0.445306773,0.568982987,0.617206923,1.101029697,0.853521985,0.663200152,1.689860046,0.408486811,0.442761255,0.380650731,0.387790523,0.229370223,0.521667364,0.456745311,6.305396569
34,0.058312314,1.01233735,0.943479517,1.448742397,1.6900522,1.306136992,0.470354498,0.45706755,0.406345888,0.432430887,0.36734644,0.421874677,0.239649606,0.369406482,0.155165741,0.037901443,0.34035499,0.022294284,1.472567469,1.137904541,1.536231222,1.107014447,0.864060874,1.030144155,1.115577398,1.961308252,1.585342706,1.226438575,2.922252519,0.800084786,0.803888416,0.733810642,0.742260588,0.457250776,0.983938319,0.828472661,9.271293871
35,0.049051599,1.590140482,1.496900838,2.302724796,2.675125337,2.105721858,0.472352498,0.460563883,0.412339555,0.43592722,0.371342107,0.42437201,0.240681668,0.369406482,0.300469432,0.044271915,0.343851323,0.014256321,2.488773224,1.948895881,2.582925103,1.958805315,1.56002531,1.763521323,1.89665254,3.22566514,2.68927476,2.103848997,4.618160991,1.446916427,1.39377691,1.328717887,1.326990653,0.844464995,1.723919275,1.443446344,12.68022851
36,0.049281218,2.364238614,2.234629826,3.419432529,3.93940714,3.171029724,0.482341832,0.47055355,0.423827555,0.44741522,0.382830107,0.430865343,0.248706729,0.376898815,0.58512779,0.070121721,0.34984499,0.014209692,3.884083312,3.141488888,4.037692984,3.19519485,2.606124411,2.839041158,3.015375348,4.895099029,4.196785814,3.360363753,6.723142797,2.425402069,2.285850071,2.234300798,2.220398051,1.476423881,2.82502323,2.37708736,16.34689414
37,0.03952117,3.304663412,3.125199148,4.750416928,5.416966277,4.454110257,0.485838165,0.470054217,0.427323888,0.451910553,0.39032244,0.432363677,0.251737124,0.376399482,1.070077148,0.108958193,0.348346323,0.006671063,5.5810784,4.696203894,5.842595532,4.776724051,4.002357846,4.230231659,4.445772823,6.872711584,6.041944202,4.959021508,9.079861602,3.74203471,3.500086899,3.47053871,3.431474116,2.396082434,4.286251185,3.649874377,20.08648378
38,0.034755788,4.394432544,4.159618469,6.27170266,7.073838414,5.931488123,0.491831832,0.47055355,0.432818222,0.46090122,0.40380844,0.43586001,0.256765519,0.380395482,1.873194507,0.188751999,0.349345323,0.0061251,7.514326822,6.576578901,7.919214413,6.642955919,5.715260948,5.88864316,6.149385298,9.070094472,8.158319923,6.845878264,11.58242841,5.381330351,5.025498726,5.025943621,4.933746181,3.64689532,6.08862314,5.257811726,23.81908075
39,0.033986074,5.618561343,5.319406791,7.952821726,8.873561218,7.567699989,0.502321165,0.475548217,0.441808888,0.467394553,0.418293107,0.44634901,0.268286581,0.385889815,3.087382531,0.349461471,0.355838323,0.008076804,9.598917243,8.696703908,10.16615563,8.696991787,7.67340805,7.730363328,8.05928244,11.40783103,10.46499698,8.927531687,14.14742988,7.277857326,6.826622887,6.849069199,6.660783913,5.221370206,8.166707429,7.145956409,27.48075171
40,0.037711692,6.253555141,5.923275446,8.821538625,9.797448355,8.409990522,0.512061165,0.48179155,0.452797555,0.47688472,0.43127944,0.45509001,0.277560142,0.393631815,3.765630223,0.440243943,0.36432949,0.011277008,10.66831733,9.798142248,11.32023751,9.756815322,8.692285652,8.680514162,9.050138915,12.59776542,11.64809687,9.999488776,15.43876102,8.269828467,7.770392048,7.804100777,7.558437311,6.063859092,9.250579551,8.140783759,29.30159402
