Cycle,1,2,3,4,5,6,7,8,9,10,11,12,13,14
12,0.08400677,0.095475743,0.086259893,0.096218427,-0.125670835,0.096585177,0.09435675,0.091831247,0.095455933,-0.197896662,0.09835767,0.103349727,0.078277233,-0.205527482
13,0.08450177,0.097951743,0.081307893,0.086314427,-0.125202278,0.101042177,0.09683275,0.08836458,0.0999126,-0.1893291,0.106776337,0.109292393,0.0822389,-0.190828155
14,0.099853103,0.11875041,0.091211893,0.089781093,-0.116810721,0.114907843,0.09980375,0.09381158,0.113778267,-0.165410539,0.123613337,0.119691727,0.0871909,-0.168700494
15,0.110747437,0.135092077,0.10260156,0.097704427,-0.100000498,0.129268843,0.113174083,0.108667913,0.130119933,-0.14495831,0.139955337,0.128605393,0.0970949,-0.1416205
16,0.122632437,0.15737641,0.115476893,0.107608427,-0.087151941,0.141648843,0.124564083,0.121048247,0.144976267,-0.125001082,0.156297003,0.13999506,0.103037233,-0.118502172
17,0.136993437,0.17718441,0.122904893,0.114046093,-0.067370384,0.161952177,0.14041075,0.13342858,0.160822933,-0.105043854,0.174124337,0.14989906,0.1114559,-0.089441511
18,0.139469437,0.187088743,0.119933893,0.11057976,-0.063930827,0.17235151,0.135954083,0.13342858,0.1642896,-0.092514625,0.181552337,0.14989906,0.109970233,-0.072761183
19,0.13748877,0.19649741,0.118448227,0.107608427,-0.06049127,0.18423651,0.139420417,0.135409247,0.1642896,-0.083452063,0.18947567,0.150394393,0.110960567,-0.057566522
20,0.13055577,0.199964077,0.115972227,0.103151427,-0.062499046,0.185226843,0.136944417,0.136894913,0.1642896,-0.078846168,0.193437337,0.150394393,0.110960567,-0.044847861
21,0.136498437,0.21581041,0.12191456,0.107608093,-0.054602489,0.195626177,0.16170475,0.145313247,0.175679267,-0.062850607,0.208293337,0.164755393,0.1188839,-0.021729867
22,0.14491677,0.22967641,0.12637156,0.111074427,-0.044725266,0.20602551,0.182503417,0.151255913,0.1865736,-0.042893378,0.221664003,0.176640393,0.124331233,0.007825794
