wellLocation,Cycle_Number1,Cycle_Number2,Cycle_Number3,Cycle_Number4,Cycle_Number5,Cycle_Number6,Cycle_Number7,Cycle_Number8,Cycle_Number9,Cycle_Number10,Cycle_Number11,Cycle_Number12,Cycle_Number13,Cycle_Number14,Cycle_Number15,Cycle_Number16,Cycle_Number17,Cycle_Number18,Cycle_Number19,Cycle_Number20,Cycle_Number21,Cycle_Number22,Cycle_Number23,Cycle_Number24,Cycle_Number25,Cycle_Number26,Cycle_Number27,Cycle_Number28,Cycle_Number29,Cycle_Number30,Cycle_Number31,Cycle_Number32,Cycle_Number33,Cycle_Number34,Cycle_Number35
M2,-12.1536922,-4.770595327,-1.745066896,-0.374978066,4.696011513,9.096985126,7.803018259,8.223535968,7.194358372,5.702116449,2.371345742,1.537306141,1.743002234,0.854689602,0.204169692,3.7562359,7.828737071,14.0476322,40.10143345,87.35257159,163.4734974,310.6778952,551.9042298,893.194731,1352.322025,1782.854676,2141.920629,2379.496996,2508.358119,2564.248745,2583.05478,2586.151375,2578.261284,2565.946195,2552.686519
M3,-24.45820482,-10.32360145,-3.121901174,1.288334576,3.182030019,8.615399858,7.362142699,9.547516191,9.070265128,3.447725676,6.515252159,1.449939651,2.034897009,-0.564918328,-2.02503374,-2.434414876,0.277346352,14.76407921,32.27371506,82.04943696,164.0194191,315.8249882,575.7230967,965.2188232,1507.297204,2034.088514,2490.681137,2803.990904,2977.776188,3055.031019,3080.992522,3084.030224,3074.25674,3058.357173,3040.017413
M4,-38.52095024,-11.48068235,-5.55066679,0.468479753,3.425695162,8.882112295,4.973746967,9.359914745,8.387999018,2.184894275,5.546144473,2.873952339,-0.947821408,2.941793571,-0.686966371,2.620132312,3.935350635,14.59570646,31.8606456,70.16274368,131.3407923,257.0245253,473.6759413,790.8105595,1300.468726,1827.729584,2326.80694,2705.053245,2932.310826,3037.833798,3070.845329,3075.267376,3064.928409,3048.206916,3027.174404
M5,-21.73547477,-3.804622164,-0.834481228,1.094125393,7.355633041,6.932327175,4.498266686,5.471194926,2.389379691,2.276391042,1.127229273,-2.365514541,-1.886243633,-2.462897,-0.937259355,1.616531926,7.234239048,28.00395118,67.79141452,138.1510077,264.4687127,499.5327598,873.9905483,1407.088083,1955.115988,2457.065677,2831.330873,3048.652219,3151.863865,3185.623362,3193.857236,3191.542021,3186.839532,3176.225533,3162.897929
M6,-26.08880511,-12.40536678,-4.24572378,-1.179932699,3.808959362,8.495223988,6.646853007,8.769955156,7.634593267,4.094446657,6.222523726,1.108976856,0.275165815,2.720985138,-0.526808203,0.176385437,2.139141528,13.04856135,20.53514445,47.25918084,86.15223227,165.622671,302.8566757,510.6476584,823.8386137,1278.548823,1732.902742,2130.892202,2398.438647,2523.649051,2549.53785,2530.447128,2498.688878,2470.832801,2450.687681
M7,-13.89596682,-5.635852291,-2.074610849,-1.00467428,3.95617107,4.748485438,8.351408727,8.008562083,7.524280267,1.701096596,5.013988272,2.28839953,0.563830883,-0.559560089,-2.42754671,-0.782642828,1.41375093,7.111959086,18.27853693,47.07894432,86.72155171,180.3464997,329.6058196,564.7751314,970.8417458,1434.93962,1932.669078,2360.587487,2652.67635,2805.619795,2859.746626,2864.183152,2847.914369,2828.77294,2811.450651
M8,-23.12738076,-6.484607162,-3.389408656,-0.181765563,3.643561355,5.553110721,8.282913823,5.964897293,10.40332768,0.838904556,4.706819029,-0.470539354,0.533781851,0.654576263,-5.433386589,-2.721532145,2.618391725,11.90033363,24.02898771,59.06616036,116.6940915,225.2801573,406.1071779,681.6495604,1128.541218,1601.054278,2056.240587,2403.156947,2604.908595,2689.358634,2705.580078,2695.884548,2677.157133,2656.840514,2637.002707
M9,-21.55003751,-14.25462843,-7.62994008,-0.181717936,4.949539583,10.80329368,10.58571323,9.700867817,11.72842096,6.961567166,4.040396899,3.280096298,0.414136516,-3.176959907,-8.378643518,-5.382082931,-4.913685689,2.537687382,13.46477078,52.75826748,113.5621774,229.2584873,426.0884671,717.6426269,1169.394316,1639.655265,2081.852505,2417.297695,2620.730636,2720.683372,2756.753915,2761.130494,2753.475914,2741.144932,2728.330128
M10,-10.61579639,-8.44677509,-4.013248141,-0.908819353,3.885103608,5.105953556,9.732831926,7.491715501,8.071488947,7.025556719,2.945223976,2.563826862,0.469045121,0.833761522,0.423265915,-0.573360158,0.262325029,7.989475073,16.82950527,47.61682263,90.4648089,178.4571071,330.7620878,576.4202064,996.3789561,1472.453248,1974.291267,2395.493802,2673.7221,2811.151871,2856.994423,2857.379445,2839.6861,2815.628639,2789.960919
M11,-11.35522885,-3.321676961,0.348988702,4.996231797,0.477327041,4.719974105,6.309336071,3.01674232,6.173246736,2.338240412,-0.07966966,-4.89185221,-2.635486865,-1.900897493,1.81649993,7.494128381,17.4317522,45.01183646,84.38225185,174.5775731,318.5048552,582.4040665,981.7121638,1480.016363,1959.253335,2364.00546,2644.914672,2804.807777,2886.106777,2920.833372,2935.255846,2939.561006,2937.89415,2929.127886,2916.071024
M12,-17.35879176,-5.980187187,-3.894200339,-2.135996101,2.100492019,7.553483856,7.806024526,7.295003651,9.635275392,3.835606442,5.572030699,1.532891894,3.346135974,1.683298822,-3.968230213,0.123865495,5.996130459,8.102260235,27.07543102,67.04574397,125.4498001,251.8030342,447.904481,755.0146231,1234.675432,1725.497328,2173.941101,2486.29828,2640.388124,2686.433755,2690.059211,2685.602879,2678.444086,2667.575742,2657.625023
M13,-15.16361411,-8.499596246,-4.941755198,0.645766169,2.075760717,6.933636622,8.798655791,5.751030817,3.093017504,2.659579211,2.869983594,2.555426186,0.31905958,-1.21664527,-3.423366846,-0.222303303,5.332134402,15.99912998,35.38933862,82.90363166,157.071674,307.9349684,550.4813807,892.2241061,1348.821612,1780.816341,2144.84239,2400.567306,2551.647173,2634.315901,2676.966668,2701.363524,2711.968127,2708.87705,2698.000265
M14,-14.25983119,-9.343575405,-6.903660092,1.228192582,5.164499661,4.914387721,6.869571469,8.979238546,5.847756167,5.517647731,4.072346738,2.010516337,-1.815306289,-1.370311764,-7.845698101,-1.732018877,-0.62843379,11.28417146,31.53860568,81.46666886,164.9272138,317.7570933,568.1511978,933.2586435,1428.416826,1900.403431,2301.529089,2579.139492,2737.590641,2817.072312,2855.472561,2875.688922,2882.887708,2878.924554,2868.199456
M15,-8.501722938,-9.855082925,-6.071592622,0.214281604,4.539427234,9.272976381,8.080186403,7.225409373,9.697563041,0.161357816,3.009837532,2.416616148,0.75095524,1.734677283,1.482697308,0.594194809,10.21213645,25.91413249,51.03560459,106.5541585,200.8607932,381.2551725,677.2044992,1105.045048,1563.386248,2009.482353,2365.790999,2598.955353,2729.124668,2793.842565,2822.643295,2835.609437,2837.164617,2830.477012,2818.060537
M16,-3.179429731,-5.387154616,0.584567568,-0.824137661,2.057201662,5.57014654,5.093854938,3.706129686,5.961110292,1.482067106,1.51245921,1.68623972,-0.200969996,4.261460706,1.358445784,2.227279386,9.506725353,25.20687521,57.05458812,114.8234124,212.8570952,395.5271901,691.5822531,1105.052312,1534.593146,1939.973678,2258.534564,2467.856541,2589.666686,2654.802762,2691.269517,2711.883218,2722.623091,2721.228856,2713.388242
M17,0.249996273,2.516432909,6.174415705,8.232554273,14.37005282,20.14707399,27.63829881,33.42202755,34.45159207,37.38676357,43.34976753,45.62245089,49.78836109,52.9967021,55.40726681,56.27038141,58.20167897,59.72656696,64.34041499,67.66250396,69.65660713,73.21006256,77.44819998,74.60882065,77.18674921,79.89690166,84.2635921,85.52957607,89.65162595,84.94823672,90.84487034,92.14293321,91.65630279,95.33420868,96.43275883
